"Sigla  da Empresa";"Número do Voo";"D I";"Tipo de Linha";"Aeroporto Origem";"Aeroporto Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação";"Justificativa"
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"18/08/2004 05:50";"  ";"18/08/2004 10:00";"  ";"Cancelado";"XN"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"28/08/2004 05:50";"28/08/2004 04:48";"28/08/2004 08:24";"28/08/2004 07:05";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"27/08/2004 05:50";"27/08/2004 04:48";"27/08/2004 08:24";"27/08/2004 07:05";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"26/08/2004 05:50";"26/08/2004 04:44";"26/08/2004 08:24";"26/08/2004 06:46";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"18/08/2004 05:50";"18/08/2004 04:59";"18/08/2004 08:24";"18/08/2004 07:15";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"04/08/2004 05:50";"04/08/2004 04:33";"04/08/2004 08:24";"04/08/2004 06:45";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"13/08/2004 05:50";"13/08/2004 08:49";"13/08/2004 08:24";"13/08/2004 11:00";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"31/08/2004 05:50";"31/08/2004 04:48";"31/08/2004 08:24";"31/08/2004 06:46";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"21/08/2004 05:50";"21/08/2004 05:03";"21/08/2004 08:24";"21/08/2004 07:26";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"25/08/2004 05:50";"25/08/2004 05:50";"25/08/2004 08:24";"25/08/2004 08:24";"Realizado";"  "
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"17/08/2004 05:50";"17/08/2004 04:35";"17/08/2004 08:24";"17/08/2004 06:40";"Realizado";"MX"
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"04/08/2004 05:50";"  ";"04/08/2004 10:00";"  ";"Cancelado";"XN"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"10/08/2004 05:50";"10/08/2004 05:30";"10/08/2004 08:24";"10/08/2004 07:47";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"12/08/2004 05:50";"12/08/2004 10:00";"12/08/2004 08:24";"12/08/2004 12:02";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"14/08/2004 05:50";"14/08/2004 05:50";"14/08/2004 08:24";"14/08/2004 08:24";"Realizado";"  "
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"19/08/2004 05:50";"19/08/2004 06:49";"19/08/2004 08:24";"19/08/2004 09:06";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"20/08/2004 05:50";"20/08/2004 04:30";"20/08/2004 08:24";"20/08/2004 06:43";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"11/08/2004 05:50";"11/08/2004 09:29";"11/08/2004 08:24";"11/08/2004 11:35";"Realizado";"WO"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"03/08/2004 05:50";"03/08/2004 05:16";"03/08/2004 08:24";"03/08/2004 07:25";"Realizado";"MX"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"24/08/2004 05:50";"24/08/2004 04:53";"24/08/2004 08:24";"24/08/2004 06:57";"Realizado";"MX"
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"25/08/2004 05:50";"  ";"25/08/2004 10:00";"  ";"Cancelado";"XN"
"FDX";" 7145";"0";"G";"SBPA";"SBKP";"07/08/2004 05:50";"07/08/2004 05:50";"07/08/2004 08:24";"07/08/2004 08:24";"Realizado";"  "
"TUS";" 8421";"0";"G";"KMIA";"SBEG";"11/08/2004 05:50";"  ";"11/08/2004 10:00";"  ";"Cancelado";"XN"
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"31/08/2004 06:00";"  ";"31/08/2004 06:53";"  ";"Cancelado";"XB"
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"26/08/2004 06:00";"  ";"26/08/2004 07:00";"  ";"Cancelado";"XN"
"MSQ";" 6450";"0";"R";"SBBE";"SBMQ";"17/08/2004 06:00";"17/08/2004 06:00";"17/08/2004 06:50";"17/08/2004 06:50";"Realizado";"  "
"VSP";" 4199";"0";"N";"SBEG";"SBBE";"27/08/2004 06:00";"27/08/2004 06:00";"27/08/2004 08:00";"27/08/2004 08:00";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"12/08/2004 06:00";"12/08/2004 06:00";"12/08/2004 06:40";"12/08/2004 06:40";"Realizado";"  "
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"17/08/2004 06:00";"17/08/2004 06:00";"17/08/2004 07:10";"17/08/2004 07:10";"Realizado";"  "
"VSP";" 4420";"0";"C";"SBBR";"SBCF";"27/08/2004 06:00";"  ";"27/08/2004 07:10";"  ";"Cancelado";"XN"
"VRG";" 2365";"0";"N";"SBPL";"SBRF";"27/08/2004 06:00";"27/08/2004 06:00";"27/08/2004 07:15";"27/08/2004 07:15";"Realizado";"  "
"GLO";" 1665";"0";"N";"SBGR";"SBFL";"02/08/2004 06:00";"02/08/2004 06:00";"02/08/2004 07:00";"02/08/2004 07:00";"Realizado";"  "
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"03/08/2004 06:00";"03/08/2004 06:00";"03/08/2004 07:00";"03/08/2004 07:00";"Realizado";"  "
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"15/08/2004 06:00";"15/08/2004 06:00";"15/08/2004 07:10";"15/08/2004 07:10";"Realizado";"  "
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"16/08/2004 06:00";"16/08/2004 06:00";"16/08/2004 07:00";"16/08/2004 07:00";"Realizado";"  "
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"07/08/2004 06:00";"07/08/2004 06:00";"07/08/2004 07:00";"07/08/2004 07:00";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"02/08/2004 06:00";"02/08/2004 06:00";"02/08/2004 06:35";"02/08/2004 06:35";"Realizado";"  "
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"16/08/2004 06:00";"  ";"16/08/2004 06:53";"  ";"Cancelado";"XB"
"GLO";" 1665";"0";"N";"SBGR";"SBFL";"09/08/2004 06:00";"09/08/2004 06:00";"09/08/2004 07:00";"09/08/2004 07:00";"Realizado";"  "
"VSP";" 4433";"0";"C";"SBFL";"SBPA";"20/08/2004 06:00";"  ";"20/08/2004 06:50";"  ";"Cancelado";"XN"
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"30/08/2004 06:00";"30/08/2004 06:00";"30/08/2004 06:31";"30/08/2004 06:31";"Realizado";"  "
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"24/08/2004 06:00";"24/08/2004 06:00";"24/08/2004 06:31";"24/08/2004 06:31";"Realizado";"  "
"GLO";" 1665";"0";"N";"SBGR";"SBFL";"06/08/2004 06:00";"06/08/2004 06:00";"06/08/2004 07:00";"06/08/2004 07:00";"Realizado";"  "
"VSP";" 4433";"0";"C";"SBFL";"SBPA";"05/08/2004 06:00";"05/08/2004 09:02";"05/08/2004 06:50";"05/08/2004 10:03";"Realizado";"RA"
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"27/08/2004 06:00";"27/08/2004 06:00";"27/08/2004 16:05";"27/08/2004 16:05";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"30/08/2004 06:00";"30/08/2004 06:00";"30/08/2004 06:35";"30/08/2004 06:35";"Realizado";"  "
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"26/08/2004 06:00";"26/08/2004 06:00";"26/08/2004 06:31";"26/08/2004 06:31";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"09/08/2004 06:00";"09/08/2004 06:00";"09/08/2004 06:35";"09/08/2004 06:35";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"11/08/2004 06:00";"11/08/2004 06:00";"11/08/2004 06:40";"11/08/2004 06:40";"Realizado";"  "
"PLY";" 4918";"0";"R";"SBBE";"SBHT";"07/08/2004 06:00";"07/08/2004 06:40";"07/08/2004 07:10";"07/08/2004 07:50";"Realizado";"MX"
"RSL";" 5015";"0";"N";"SBMK";"SBBH";"09/08/2004 06:00";"09/08/2004 06:00";"09/08/2004 06:44";"09/08/2004 06:44";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"17/08/2004 06:00";"17/08/2004 06:00";"17/08/2004 06:40";"17/08/2004 06:40";"Realizado";"  "
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"12/08/2004 06:00";"12/08/2004 09:45";"12/08/2004 07:23";"12/08/2004 11:21";"Realizado";"AR"
"VRG";" 2305";"0";"N";"SBKG";"SBRF";"06/08/2004 06:00";"06/08/2004 06:00";"06/08/2004 06:30";"06/08/2004 06:30";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"23/08/2004 06:00";"23/08/2004 06:00";"23/08/2004 06:35";"23/08/2004 06:35";"Realizado";"  "
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"19/08/2004 06:00";"  ";"19/08/2004 07:00";"  ";"Cancelado";"XN"
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"07/08/2004 06:00";"  ";"07/08/2004 07:00";"  ";"Cancelado";"XN"
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"20/08/2004 06:00";"20/08/2004 06:00";"20/08/2004 16:05";"20/08/2004 16:05";"Realizado";"  "
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"19/08/2004 06:00";"19/08/2004 06:00";"19/08/2004 16:05";"19/08/2004 16:05";"Realizado";"  "
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"07/08/2004 06:00";"07/08/2004 06:00";"07/08/2004 07:10";"07/08/2004 07:10";"Realizado";"  "
"PLY";" 4918";"0";"R";"SBBE";"SBHT";"31/08/2004 06:00";"  ";"31/08/2004 07:10";"  ";"Cancelado";"XB"
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"13/08/2004 06:00";"13/08/2004 06:00";"13/08/2004 07:10";"13/08/2004 07:10";"Realizado";"  "
"VSP";" 4199";"0";"N";"SBEG";"SBBE";"07/08/2004 06:00";"07/08/2004 06:00";"07/08/2004 08:00";"07/08/2004 08:00";"Realizado";"  "
"RSL";" 5015";"0";"N";"SBMK";"SBBH";"17/08/2004 06:00";"17/08/2004 05:35";"17/08/2004 06:44";"17/08/2004 06:25";"Realizado";"HD"
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"12/08/2004 06:00";"  ";"12/08/2004 07:00";"  ";"Cancelado";"XN"
"NES";" 5150";"0";"R";"SBBE";"SBSN";"11/08/2004 06:00";"11/08/2004 06:00";"11/08/2004 07:20";"11/08/2004 07:20";"Realizado";"  "
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"05/08/2004 06:00";"05/08/2004 06:00";"05/08/2004 07:00";"05/08/2004 07:00";"Realizado";"  "
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"25/08/2004 06:00";"25/08/2004 09:30";"25/08/2004 07:23";"25/08/2004 11:05";"Realizado";"AR"
"RSL";" 5015";"0";"N";"SBMK";"SBBH";"10/08/2004 06:00";"10/08/2004 05:35";"10/08/2004 06:44";"10/08/2004 06:35";"Realizado";"HD"
"PLY";" 4916";"0";"R";"SBBE";"SBMA";"25/08/2004 06:00";"  ";"25/08/2004 07:05";"  ";"Cancelado";"XB"
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"19/08/2004 06:00";"19/08/2004 06:00";"19/08/2004 07:10";"19/08/2004 07:10";"Realizado";"  "
"VRG";" 2305";"0";"N";"SBKG";"SBRF";"20/08/2004 06:00";"20/08/2004 06:00";"20/08/2004 06:30";"20/08/2004 06:30";"Realizado";"  "
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"30/08/2004 06:00";"  ";"30/08/2004 06:53";"  ";"Cancelado";"XB"
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"23/08/2004 06:00";"  ";"23/08/2004 06:53";"  ";"Cancelado";"XB"
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"05/08/2004 06:00";"05/08/2004 06:00";"05/08/2004 06:40";"05/08/2004 06:40";"Realizado";"  "
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"30/08/2004 06:00";"30/08/2004 06:00";"30/08/2004 16:05";"30/08/2004 16:05";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"28/08/2004 06:00";"28/08/2004 06:00";"28/08/2004 06:40";"28/08/2004 06:40";"Realizado";"  "
"VSP";" 4199";"0";"N";"SBEG";"SBBE";"23/08/2004 06:00";"23/08/2004 06:00";"23/08/2004 08:00";"23/08/2004 08:00";"Realizado";"  "
"PLY";" 4916";"0";"R";"SBBE";"SBMA";"27/08/2004 06:00";"  ";"27/08/2004 07:05";"  ";"Cancelado";"XB"
"VRG";" 2365";"0";"N";"SBPL";"SBRF";"08/08/2004 06:00";"08/08/2004 06:00";"08/08/2004 07:15";"08/08/2004 07:15";"Realizado";"  "
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"10/08/2004 06:00";"  ";"10/08/2004 07:00";"  ";"Cancelado";"XN"
"VSP";" 4199";"0";"N";"SBEG";"SBBE";"10/08/2004 06:00";"10/08/2004 06:00";"10/08/2004 08:00";"10/08/2004 08:00";"Realizado";"  "
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"16/08/2004 06:00";"16/08/2004 06:00";"16/08/2004 07:10";"16/08/2004 07:10";"Realizado";"  "
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"02/08/2004 06:00";"02/08/2004 06:00";"02/08/2004 07:10";"02/08/2004 07:10";"Realizado";"  "
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"19/08/2004 06:00";"19/08/2004 10:05";"19/08/2004 07:23";"19/08/2004 11:44";"Realizado";"MX"
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"13/08/2004 06:00";"13/08/2004 09:40";"13/08/2004 07:23";"13/08/2004 11:20";"Realizado";"AR"
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"22/08/2004 06:00";"22/08/2004 06:00";"22/08/2004 06:53";"22/08/2004 06:53";"Realizado";"  "
"VRG";" 8998";"0";"G";"SBGR";"SCEL";"27/08/2004 06:00";"  ";"27/08/2004 09:00";"  ";"Cancelado";"XN"
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"08/08/2004 06:00";"  ";"08/08/2004 07:00";"  ";"Cancelado";"XN"
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"31/08/2004 06:00";"31/08/2004 09:45";"31/08/2004 07:23";"31/08/2004 11:25";"Realizado";"AR"
"MSQ";" 6450";"0";"R";"SBBE";"SBMQ";"03/08/2004 06:00";"  ";"03/08/2004 06:50";"  ";"Cancelado";"XB"
"VSP";" 4420";"0";"C";"SBBR";"SBCF";"31/08/2004 06:00";"  ";"31/08/2004 07:10";"  ";"Cancelado";"XN"
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"09/08/2004 06:00";"09/08/2004 06:00";"09/08/2004 06:40";"09/08/2004 06:40";"Realizado";"  "
"VRG";" 2305";"0";"N";"SBKG";"SBRF";"04/08/2004 06:00";"04/08/2004 06:00";"04/08/2004 06:30";"04/08/2004 06:30";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"04/08/2004 06:00";"04/08/2004 06:00";"04/08/2004 06:40";"04/08/2004 06:40";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"21/08/2004 06:00";"21/08/2004 06:00";"21/08/2004 06:40";"21/08/2004 06:40";"Realizado";"  "
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"15/08/2004 06:00";"15/08/2004 06:00";"15/08/2004 16:05";"15/08/2004 16:05";"Realizado";"  "
"VRG";" 2305";"0";"N";"SBKG";"SBRF";"07/08/2004 06:00";"  ";"07/08/2004 06:30";"  ";"Cancelado";"XO"
"RSL";" 5015";"0";"N";"SBMK";"SBBH";"26/08/2004 06:00";"26/08/2004 05:35";"26/08/2004 06:44";"26/08/2004 06:28";"Realizado";"HD"
"VSP";" 4199";"0";"N";"SBEG";"SBBE";"04/08/2004 06:00";"04/08/2004 06:00";"04/08/2004 08:00";"04/08/2004 08:00";"Realizado";"  "
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"03/08/2004 06:00";"03/08/2004 06:00";"03/08/2004 06:31";"03/08/2004 06:31";"Realizado";"  "
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"24/08/2004 06:00";"  ";"24/08/2004 07:00";"  ";"Cancelado";"XN"
"NES";" 5150";"0";"R";"SBBE";"SBSN";"25/08/2004 06:00";"25/08/2004 06:00";"25/08/2004 07:20";"25/08/2004 07:20";"Realizado";"  "
"IBE";" 6655";"0";"I";"LEMD";"SPIM";"09/08/2004 06:00";"09/08/2004 06:00";"09/08/2004 18:00";"09/08/2004 18:00";"Realizado";"  "
"VRG";" 2305";"0";"N";"SBKG";"SBRF";"11/08/2004 06:00";"11/08/2004 06:00";"11/08/2004 06:30";"11/08/2004 06:30";"Realizado";"  "
"VRG";" 2305";"0";"N";"SBKG";"SBRF";"13/08/2004 06:00";"13/08/2004 06:00";"13/08/2004 06:30";"13/08/2004 06:30";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"28/08/2004 06:00";"28/08/2004 06:00";"28/08/2004 06:35";"28/08/2004 06:35";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"12/08/2004 06:00";"12/08/2004 06:00";"12/08/2004 06:40";"12/08/2004 06:40";"Realizado";"  "
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"13/08/2004 06:00";"  ";"13/08/2004 07:00";"  ";"Cancelado";"XN"
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"07/08/2004 06:00";"07/08/2004 10:04";"07/08/2004 07:23";"07/08/2004 11:37";"Realizado";"TC"
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"02/08/2004 06:00";"02/08/2004 07:05";"02/08/2004 16:05";"02/08/2004 16:45";"Realizado";"MX"
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"25/08/2004 06:00";"25/08/2004 06:00";"25/08/2004 07:00";"25/08/2004 07:00";"Realizado";"  "
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"26/08/2004 06:00";"26/08/2004 09:40";"26/08/2004 07:23";"26/08/2004 11:24";"Realizado";"AR"
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"30/08/2004 06:00";"30/08/2004 06:00";"30/08/2004 06:40";"30/08/2004 06:40";"Realizado";"  "
"VSP";" 4420";"0";"C";"SBBR";"SBCF";"10/08/2004 06:00";"  ";"10/08/2004 07:10";"  ";"Cancelado";"XN"
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"20/08/2004 06:00";"20/08/2004 06:00";"20/08/2004 06:40";"20/08/2004 06:40";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"04/08/2004 06:00";"04/08/2004 06:17";"04/08/2004 06:40";"04/08/2004 07:03";"Realizado";"TD"
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"26/08/2004 06:00";"26/08/2004 06:00";"26/08/2004 06:35";"26/08/2004 06:35";"Realizado";"  "
"VRG";" 2365";"0";"N";"SBPL";"SBRF";"07/08/2004 06:00";"07/08/2004 06:00";"07/08/2004 07:15";"07/08/2004 07:15";"Realizado";"  "
"MSQ";" 6442";"0";"R";"SBBE";"SBHT";"04/08/2004 06:00";"  ";"04/08/2004 07:10";"  ";"Cancelado";"XB"
"PLY";" 4916";"0";"R";"SBBE";"SBMA";"16/08/2004 06:00";"  ";"16/08/2004 07:05";"  ";"Cancelado";"XB"
"MSQ";" 6450";"0";"R";"SBBE";"SBMQ";"31/08/2004 06:00";"31/08/2004 06:00";"31/08/2004 06:50";"31/08/2004 06:50";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"19/08/2004 06:00";"19/08/2004 06:00";"19/08/2004 06:35";"19/08/2004 06:35";"Realizado";"  "
"VRG";" 2365";"0";"N";"SBPL";"SBRF";"10/08/2004 06:00";"10/08/2004 06:00";"10/08/2004 07:15";"10/08/2004 07:15";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"11/08/2004 06:00";"11/08/2004 06:00";"11/08/2004 06:40";"11/08/2004 06:40";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"18/08/2004 06:00";"18/08/2004 06:00";"18/08/2004 06:40";"18/08/2004 06:40";"Realizado";"  "
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"20/08/2004 06:00";"20/08/2004 06:00";"20/08/2004 06:31";"20/08/2004 06:31";"Realizado";"  "
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"02/08/2004 06:00";"02/08/2004 06:00";"02/08/2004 06:31";"02/08/2004 06:31";"Realizado";"  "
"VRG";" 2365";"0";"N";"SBPL";"SBRF";"17/08/2004 06:00";"17/08/2004 06:00";"17/08/2004 07:15";"17/08/2004 07:15";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"24/08/2004 06:00";"24/08/2004 06:00";"24/08/2004 06:35";"24/08/2004 06:35";"Realizado";"  "
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"31/08/2004 06:00";"  ";"31/08/2004 07:00";"  ";"Cancelado";"XN"
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"20/08/2004 06:00";"20/08/2004 06:00";"20/08/2004 07:10";"20/08/2004 07:10";"Realizado";"  "
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"22/08/2004 06:00";"22/08/2004 06:40";"22/08/2004 16:05";"22/08/2004 16:20";"Realizado";"MX"
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"31/08/2004 06:00";"31/08/2004 06:00";"31/08/2004 06:40";"31/08/2004 06:40";"Realizado";"  "
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"15/08/2004 06:00";"15/08/2004 06:00";"15/08/2004 06:53";"15/08/2004 06:53";"Realizado";"  "
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"21/08/2004 06:00";"21/08/2004 06:00";"21/08/2004 06:35";"21/08/2004 06:35";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBUR";"SBAQ";"28/08/2004 06:00";"28/08/2004 06:00";"28/08/2004 06:40";"28/08/2004 06:40";"Realizado";"  "
"MSQ";" 6442";"0";"R";"SBBE";"SBHT";"02/08/2004 06:00";"  ";"02/08/2004 07:10";"  ";"Cancelado";"XB"
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"01/08/2004 06:00";"01/08/2004 06:00";"01/08/2004 07:10";"01/08/2004 07:10";"Realizado";"  "
"VRG";" 2365";"0";"N";"SBPL";"SBRF";"22/08/2004 06:00";"22/08/2004 06:00";"22/08/2004 07:15";"22/08/2004 07:15";"Realizado";"  "
"GLO";" 1665";"0";"N";"SBGR";"SBFL";"07/08/2004 06:00";"07/08/2004 06:00";"07/08/2004 07:00";"07/08/2004 07:00";"Realizado";"  "
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"20/08/2004 06:00";"20/08/2004 09:45";"20/08/2004 07:23";"20/08/2004 11:30";"Realizado";"AR"
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"19/08/2004 06:00";"19/08/2004 07:21";"19/08/2004 06:31";"19/08/2004 07:50";"Realizado";"TD"
"MSQ";" 6450";"0";"R";"SBBE";"SBMQ";"24/08/2004 06:00";"24/08/2004 06:00";"24/08/2004 06:50";"24/08/2004 06:50";"Realizado";"  "
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"14/08/2004 06:00";"14/08/2004 06:00";"14/08/2004 16:05";"14/08/2004 16:05";"Realizado";"  "
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"30/08/2004 06:00";"30/08/2004 09:35";"30/08/2004 07:23";"30/08/2004 11:25";"Realizado";"AR"
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"24/08/2004 06:00";"  ";"24/08/2004 06:53";"  ";"Cancelado";"XB"
"TAM";" 3575";"0";"N";"SBNT";"SBRF";"18/08/2004 06:00";"18/08/2004 06:00";"18/08/2004 06:35";"18/08/2004 06:35";"Realizado";"  "
"VSP";" 4433";"0";"C";"SBFL";"SBPA";"31/08/2004 06:00";"  ";"31/08/2004 06:50";"  ";"Cancelado";"XN"
"GLO";" 1751";"0";"N";"SBPJ";"SBBR";"29/08/2004 06:00";"29/08/2004 06:00";"29/08/2004 07:10";"29/08/2004 07:10";"Realizado";"  "
"GLO";" 1665";"0";"N";"SBGR";"SBFL";"13/08/2004 06:00";"13/08/2004 06:00";"13/08/2004 07:00";"13/08/2004 07:00";"Realizado";"  "
"VSP";" 4420";"0";"C";"SBBR";"SBCF";"12/08/2004 06:00";"  ";"12/08/2004 07:10";"  ";"Cancelado";"XN"
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"25/08/2004 06:00";"25/08/2004 06:00";"25/08/2004 16:05";"25/08/2004 16:05";"Realizado";"  "
"MSQ";" 6442";"0";"R";"SBBE";"SBHT";"25/08/2004 06:00";"25/08/2004 06:00";"25/08/2004 07:10";"25/08/2004 07:10";"Realizado";"  "
"PLY";" 4916";"0";"R";"SBBE";"SBMA";"04/08/2004 06:00";"  ";"04/08/2004 07:05";"  ";"Cancelado";"XB"
"PTN";" 4767";"0";"R";"SBAU";"SBBU";"10/08/2004 06:00";"10/08/2004 06:00";"10/08/2004 06:40";"10/08/2004 06:40";"Realizado";"  "
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"04/08/2004 06:00";"  ";"04/08/2004 06:53";"  ";"Cancelado";"XB"
"PTN";" 4761";"0";"R";"SBBU";"SBSP";"29/08/2004 06:00";"29/08/2004 06:00";"29/08/2004 06:53";"29/08/2004 06:53";"Realizado";"  "
"VRG";" 2635";"0";"E";"SBBR";"SBSP";"23/08/2004 06:00";"23/08/2004 09:37";"23/08/2004 07:23";"23/08/2004 11:10";"Realizado";"AR"
"MSQ";" 6442";"0";"R";"SBBE";"SBHT";"20/08/2004 06:00";"20/08/2004 19:00";"20/08/2004 07:10";"20/08/2004 19:58";"Realizado";"HA"
"TAP";" 0177";"0";"I";"LPPT";"SBGL";"23/08/2004 06:00";"23/08/2004 06:00";"23/08/2004 16:05";"23/08/2004 16:05";"Realizado";"  "
"GLO";" 1715";"0";"E";"SBMO";"SBSV";"20/08/2004 06:00";"20/08/2004 06:00";"20/08/2004 07:00";"20/08/2004 07:00";"Realizado";"  "
"RSL";" 5015";"0";"N";"SBMK";"SBBH";"21/08/2004 06:00";"21/08/2004 05:45";"21/08/2004 06:44";"21/08/2004 06:41";"Realizado";"HD"
"ONE";" 6331";"0";"R";"SDCO";"SBSP";"04/08/2004 06:00";"04/08/2004 06:00";"04/08/2004 06:31";"04/08/2004 06:31";"Realizado";"  "
"VSP";" 4420";"0";"C";"SBBR";"SBCF";"11/08/2004 06:00";"  ";"11/08/2004 07:10";"  ";"Cancelado";"XN"
"PLY";" 4916";"0";"R";"SBBE";"SBMA";"13/08/2004 06:00";"  ";"13/08/2004 07:05";"  ";"Cancelado";"XB"
"VRG";" 8865";"0";"I";"SBGR";"SBGL";"04/08/2004 06:00";"  ";"04/08/2004 07:00";"  ";"Cancelado";"XN"
