"Sigla  da Empresa";"Número do Voo";"D I";"Tipo de Linha";"Aeroporto Origem";"Aeroporto Destino";"Partida Prevista";"Partida Real";"Chegada Prevista";"Chegada Real";"Situação";"Justificativa"
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"04/08/2004 06:50";"04/08/2004 06:50";"04/08/2004 07:39";"04/08/2004 07:39";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"21/08/2004 06:50";"21/08/2004 06:50";"21/08/2004 07:27";"21/08/2004 07:27";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"23/08/2004 06:50";"23/08/2004 06:50";"23/08/2004 08:40";"23/08/2004 08:40";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"07/08/2004 06:50";"07/08/2004 06:50";"07/08/2004 07:22";"07/08/2004 07:22";"Realizado";"  "
"GLO";" 1697";"0";"N";"SBFZ";"SBRF";"29/08/2004 06:50";"29/08/2004 06:50";"29/08/2004 08:00";"29/08/2004 08:00";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"07/08/2004 06:50";"07/08/2004 06:50";"07/08/2004 07:27";"07/08/2004 07:27";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"25/08/2004 06:50";"25/08/2004 06:50";"25/08/2004 08:40";"25/08/2004 08:40";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"04/08/2004 06:50";"04/08/2004 06:50";"04/08/2004 07:25";"04/08/2004 07:25";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"16/08/2004 06:50";"16/08/2004 06:50";"16/08/2004 08:40";"16/08/2004 08:40";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"10/08/2004 06:50";"10/08/2004 06:50";"10/08/2004 07:25";"10/08/2004 07:25";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"27/08/2004 06:50";"27/08/2004 07:05";"27/08/2004 07:22";"27/08/2004 07:52";"Realizado";"MX"
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"18/08/2004 06:50";"18/08/2004 06:50";"18/08/2004 09:35";"18/08/2004 09:35";"Realizado";"  "
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"07/08/2004 06:50";"07/08/2004 06:50";"07/08/2004 07:39";"07/08/2004 07:39";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"22/08/2004 06:50";"22/08/2004 06:50";"22/08/2004 07:25";"22/08/2004 07:25";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"27/08/2004 06:50";"27/08/2004 06:50";"27/08/2004 09:35";"27/08/2004 09:35";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"31/08/2004 06:50";"31/08/2004 06:50";"31/08/2004 09:35";"31/08/2004 09:35";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"24/08/2004 06:50";"24/08/2004 06:50";"24/08/2004 07:25";"24/08/2004 07:25";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"14/08/2004 06:50";"14/08/2004 06:50";"14/08/2004 08:40";"14/08/2004 08:40";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"04/08/2004 06:50";"04/08/2004 07:08";"04/08/2004 07:22";"04/08/2004 08:00";"Realizado";"TD"
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"30/08/2004 06:50";"30/08/2004 06:50";"30/08/2004 07:39";"30/08/2004 07:39";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"13/08/2004 06:50";"13/08/2004 06:58";"13/08/2004 07:22";"13/08/2004 07:45";"Realizado";"MX"
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"23/08/2004 06:50";"23/08/2004 06:50";"23/08/2004 07:25";"23/08/2004 07:25";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"24/08/2004 06:50";"24/08/2004 06:50";"24/08/2004 08:40";"24/08/2004 08:40";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"08/08/2004 06:50";"08/08/2004 06:50";"08/08/2004 09:35";"08/08/2004 09:35";"Realizado";"  "
"GLO";" 1697";"0";"N";"SBFZ";"SBRF";"30/08/2004 06:50";"30/08/2004 06:50";"30/08/2004 08:00";"30/08/2004 08:00";"Realizado";"  "
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"29/08/2004 06:50";"29/08/2004 06:50";"29/08/2004 07:25";"29/08/2004 07:25";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"27/08/2004 06:50";"27/08/2004 06:50";"27/08/2004 07:27";"27/08/2004 07:27";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"25/08/2004 06:50";"25/08/2004 06:50";"25/08/2004 07:27";"25/08/2004 07:27";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"07/08/2004 06:50";"07/08/2004 06:50";"07/08/2004 08:40";"07/08/2004 08:40";"Realizado";"  "
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"18/08/2004 06:50";"18/08/2004 06:50";"18/08/2004 07:22";"18/08/2004 07:22";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"28/08/2004 06:50";"28/08/2004 07:14";"28/08/2004 07:27";"28/08/2004 07:59";"Realizado";"TD"
"VSP";" 4250";"0";"N";"SBGO";"SBBR";"18/08/2004 06:50";"18/08/2004 06:50";"18/08/2004 07:25";"18/08/2004 07:25";"Realizado";"  "
"TAM";" 3255";"0";"R";"SBRP";"SBSP";"24/08/2004 06:50";"24/08/2004 06:50";"24/08/2004 07:27";"24/08/2004 07:27";"Realizado";"  "
"ARG";" 1240";"0";"I";"SAEZ";"SBGR";"26/08/2004 06:50";"26/08/2004 06:50";"26/08/2004 09:35";"26/08/2004 09:35";"Realizado";"  "
"ONE";" 6305";"0";"R";"SBCM";"SBSP";"03/08/2004 06:50";"03/08/2004 07:55";"03/08/2004 08:40";"03/08/2004 09:19";"Realizado";"WO"
"PTN";" 4753";"0";"R";"SBAQ";"SBSP";"26/08/2004 06:50";"  ";"26/08/2004 07:22";"  ";"Cancelado";"XT"
"PTN";" 4767";"0";"R";"SBBU";"SBSP";"27/08/2004 06:50";"27/08/2004 06:50";"27/08/2004 07:39";"27/08/2004 07:39";"Realizado";"  "
