f;origem;destino;cols
vra_do_mes_2016_07.rdata;204;208;ChegadaReal
vra_do_mes_2016_07.rdata;204;208;Situacao
vra_do_mes_2016_07.rdata;204;208;Justificativa
vra_do_mes_2016_08.rdata;203;205;Sigla
vra_do_mes_2016_08.rdata;203;205;Voo
vra_do_mes_2016_08.rdata;203;205;DI
vra_do_mes_2016_08.rdata;203;205;TipoLinha
vra_do_mes_2016_08.rdata;203;205;AeroportoOrigem
vra_do_mes_2016_08.rdata;203;205;AeroportoDestino
vra_do_mes_2016_08.rdata;203;205;PartidaPrevista
vra_do_mes_2016_08.rdata;203;205;PartidaReal
vra_do_mes_2016_08.rdata;203;205;ChegadaPrevista
vra_do_mes_2016_08.rdata;203;205;ChegadaReal
vra_do_mes_2016_08.rdata;203;205;Situacao
vra_do_mes_2016_08.rdata;203;205;Justificativa
vra_do_mes_2016_09.rdata;203;206;Sigla
vra_do_mes_2016_09.rdata;203;206;Voo
vra_do_mes_2016_09.rdata;203;206;DI
vra_do_mes_2016_09.rdata;203;206;TipoLinha
vra_do_mes_2016_09.rdata;203;206;AeroportoOrigem
vra_do_mes_2016_09.rdata;203;206;AeroportoDestino
vra_do_mes_2016_09.rdata;203;206;PartidaPrevista
vra_do_mes_2016_09.rdata;203;206;PartidaReal
vra_do_mes_2016_09.rdata;203;206;ChegadaPrevista
vra_do_mes_2016_09.rdata;203;206;ChegadaReal
vra_do_mes_2016_09.rdata;203;206;Situacao
vra_do_mes_2016_09.rdata;203;206;Justificativa
vra_do_mes_2016_10.rdata;209;210;Sigla
vra_do_mes_2016_10.rdata;209;210;Voo
vra_do_mes_2016_10.rdata;209;210;DI
vra_do_mes_2016_10.rdata;209;210;TipoLinha
vra_do_mes_2016_10.rdata;209;210;AeroportoOrigem
vra_do_mes_2016_10.rdata;209;210;AeroportoDestino
vra_do_mes_2016_10.rdata;209;210;PartidaPrevista
vra_do_mes_2016_10.rdata;209;210;PartidaReal
vra_do_mes_2016_10.rdata;209;210;ChegadaPrevista
vra_do_mes_2016_10.rdata;209;210;ChegadaReal
vra_do_mes_2016_10.rdata;209;210;Situacao
vra_do_mes_2016_10.rdata;209;210;Justificativa
vra_do_mes_2016_11.rdata;210;212;Sigla
vra_do_mes_2016_11.rdata;210;212;Voo
vra_do_mes_2016_11.rdata;210;212;DI
vra_do_mes_2016_11.rdata;210;212;TipoLinha
vra_do_mes_2016_11.rdata;210;212;AeroportoOrigem
vra_do_mes_2016_11.rdata;210;212;AeroportoDestino
vra_do_mes_2016_11.rdata;210;212;PartidaPrevista
vra_do_mes_2016_11.rdata;210;212;PartidaReal
